MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,ELITE,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
Deathrattle,"Classic","Savannah Highmane","<b>Deathrattle:</b> Summon two 2/2 Hyenas.","Minion","EX1_534",True,,"Milivoj Ceran","Rare",6,6,5,"In the jungle the mighty jungle the lion gets slowly consumed by hyenas.",,"Hunter","Beast","Master",
Divine Shield,"Classic","Scarlet Crusader","<b>Divine Shield</b>","Minion","EX1_020",True,"Alliance","Gonzalo Ordonez","Common",3,3,1,"Never wash your whites with a Scarlet Crusader.",,,,,
,"Classic","Scavenging Hyena","Whenever a friendly Beast dies gain +2/+1.","Minion","EX1_531",True,,"Jim Nelson","Common",2,2,2,"Hyenas prefer the bones of kodos or windserpents but they'll eat pretty much anything.  Even Brussels sprouts.",,"Hunter","Beast","Scavenging",
,"Classic","Sea Giant","Costs (1) less for each other minion on the battlefield.","Minion","EX1_586",True,"Neutral","Svetlin Velinov","Epic",8,10,8,"See?  Giant.",,,,,
,"Classic","Secretkeeper","Whenever a <b>Secret</b> is played gain +1/+1.","Minion","EX1_080",True,"Alliance","Gonzalo Ordonez","Rare",1,1,2,"She promises not to tell anyone about that thing you did last night with that one person.",,,,"Firey",
,"Classic","Sense Demons","Put 2 random Demons from your deck into your hand.","Spell","EX1_317",True,"Neutral","Raven Mimura","Common",,3,,"Generally demons are pretty obvious and you don’t need a spell to sense them.",,"Warlock",,,
,"Classic","Shadow Madness","Gain control of an enemy minion with 3 or less Attack until end of turn.","Spell","EX1_334",True,"Neutral","Mark Gibbons","Rare",,4,,"You can rationalize it all you want it's still a mean thing to do.",,"Priest",,,
,"Classic","Shadow of Nothing","Mindgames whiffed! Your opponent had no minions!","Minion","EX1_345t",,,,"Epic",0,0,1,,,"Priest",,,
AffectedBySpellPower,"Classic","Shadowflame","Destroy a friendly minion and deal its Attack damage to all enemy minions.","Spell","EX1_303",True,"Neutral","Dave Kendall","Rare",,4,,"Start with a powerful minion and stir in Shadowflame and you have a good time!",,"Warlock",,,
,"Classic","Shadowform","Your Hero Power becomes 'Deal 2 damage'. If already in Shadowform: 3 damage.","Spell","EX1_625",True,,"Alex Horley Orlandelli","Epic",,3,,"If a bright light shines on a priest in Shadowform… do they cast a shadow?",,"Priest",,,
,"Classic","Shadows of M'uru","This minion has consumed Divine Shields and has increased Attack and Health.","Enchantment","EX1_590e",,,,"Common",,,,,,,,,
,"Classic","Shadowstep","Return a friendly minion to your hand. It costs (2) less.","Spell","EX1_144",True,"Neutral","Graven Tung","Common",,0,,"Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.",,"Rogue",,,
,"Classic","Shan'do's Lesson","Summon two 2/2 Treants with <b>Taunt</b>.","Spell","EX1_573b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Sharp!","+2 Attack from Spiteful Smith.","Enchantment","CS2_221e",,,,,,,,,,,,,
,"Classic","Sharpened","+1 Durability.","Enchantment","CS2_146o",,,,,,,,,,,,,
AffectedBySpellPower,"Classic","Shield Slam","Deal 1 damage to a minion for each Armor you have.","Spell","EX1_410",True,"Neutral","Raymond Swanland","Epic",,1,,""What is a better weapon? The sharp one your enemies expect or the blunt one they ignore?" - The Art of Warrior Chapter 9",,"Warrior",,,
Taunt,"Classic","Shieldbearer","<b>Taunt</b>","Minion","EX1_405",True,"Neutral","Carl Critchlow","Common",0,1,4,"Have you seen the size of the shields in this game??  This is no easy job.",,,,,
Combo,"Classic","SI:7 Agent","<b>Combo:</b> Deal 2 damage.","Minion","EX1_134",True,"Neutral","Chris Moeller","Rare",3,3,3,"The agents of SI:7 are responsible for Stormwind's covert activities.  Their duties include espionage assassination and throwing surprise birthday parties for the royal family.",,"Rogue",,,
Silence,"Classic","Silence","<b>Silence</b> a minion.","Spell","EX1_332",True,"Neutral","Zoltan & Gabor","Common",,0,,"Reserved for enemy spellcasters evil liches from beyond the grave and karaoke nights at the Grim Guzzler.",,"Priest",,,
Battlecry,"Classic","Silver Hand Knight","<b>Battlecry:</b> Summon a 2/2 Squire.","Minion","CS2_151",True,"Alliance","Matt Starbuck","Common",4,5,4,"It's good to be a knight.   Less so to be one's squire.",,,,,
Divine Shield,"Classic","Silvermoon Guardian","<b>Divine Shield</b>","Minion","EX1_023",True,"Horde","Phroilan Gardner","Common",3,4,3,"The first time they tried to guard Silvermoon against the scourge it didn’t go so well…",,,,,
,"Classic","Siphon Soul","Destroy a minion. Restore #3 Health to your hero.","Spell","EX1_309",True,"Neutral","Tyler Walpole","Rare",,6,,"You probably should avoid siphoning your own soul.  You might create some kind of weird infinite loop.",,"Warlock",,,
,"Classic","Slam","Deal $2 damage to a minion. If it survives draw a card.","Spell","EX1_391",True,"Neutral","E.M. Gist","Common",,2,,""Dun da dun dun da dun": if you've heard an ogre sing this it's too late.",,"Warrior",,,
,"Classic","Snake",,"Minion","EX1_554t",,"Neutral",,"Common",1,0,1,,,"Hunter","Beast",,
Secret,"Classic","Snake Trap","<b>Secret:</b> When one of your minions is attacked summon three 1/1 Snakes.","Spell","EX1_554",True,"Neutral","Bernie Kang","Epic",,2,,"Why did it have to be snakes?",,"Hunter",,,
Secret,"Classic","Snipe","<b>Secret:</b> When your opponent plays a minion deal $4 damage to it.","Spell","EX1_609",True,"Neutral","Lorenzo Minaca","Common",,2,,"A great sniper hits the spot.  Just like a delicious flank of boar. Mmmmm.",,"Hunter",,,
Aura,"Classic","Sorcerer's Apprentice","Your spells cost (1) less.","Minion","EX1_608",True,"Neutral","Alex Horley Orlandelli","Common",3,2,2,"Apprentices are great for bossing around.  "Conjure me some mana buns! And a coffee!  Make that a mana coffee!"",,"Mage",,,
,"Classic","Soul of the Forest","Deathrattle: Summon a 2/2 Treant.","Enchantment","EX1_158e",,,,,,,,,,"Druid",,,
,"Classic","Soul of the Forest","Give your minions "<b>Deathrattle:</b> Summon a 2/2 Treant."","Spell","EX1_158",True,"Neutral","Markus Erdt","Common",,4,,""Reforestation" is suddenly a terrifying word.",,"Druid",,,
Aura,"Classic","Southsea Captain","Your other Pirates have +1/+1.","Minion","NEW1_027",True,,"Ken Steacy","Epic",3,3,3,"When he saves enough plunder he's going to commission an enormous captain's hat.  He has hat envy.",,,"Pirate",,
,"Classic","Southsea Deckhand","Has <b>Charge</b> while you have a weapon equipped.","Minion","CS2_146",True,"Alliance","Dan Brereton","Common",2,1,1,"Pirates are into this new fad called "Planking".",,,"Pirate",,
,"Classic","Spellbender",,"Minion","tt_010a",,,,"Epic",1,0,3,,,"Mage",,,
Secret,"Classic","Spellbender","<b>Secret:</b> When an enemy casts a spell on a minion summon a 1/3 as the new target.","Spell","tt_010",True,"Neutral","Gonzalo Ordonez","Epic",,3,,"While it's fun to intercept enemy lightning bolts a spellbender much prefers to intercept opposing Marks of the Wild.  It just feels meaner.  And blood elves... well they're a little mean.",,"Mage",,,
Battlecry,"Classic","Spellbreaker","<b>Battlecry:</b> <b>Silence</b> a minion.","Minion","EX1_048",True,"Horde","Matt Cavotta","Common",4,4,3,"Spellbreakers can rip enchantments from magic-wielders.  The process is painless and can be performed on an outpatient basis.",,,,,
Taunt,"Classic","Spirit Wolf","<b>Taunt</b>","Minion","EX1_tk11",,"Neutral",,"Rare",2,2,3,,,"Shaman",,,
Enrage,"Classic","Spiteful Smith","<b>Enrage:</b> Your weapon has +2 Attack.","Minion","CS2_221",True,"Horde","Justin Sweet","Common",4,5,6,"She'll craft you a sword but you'll need to bring her 5 Steel Ingots 3 Motes of Earth and the scalp of her last customer.",,,,"Summoning",
,"Classic","Squire",,"Minion","CS2_152",,"Alliance",,"Common",2,1,2,,,,,,
,"Classic","Squirrel",,"Minion","EX1_tk28",,"Neutral",,"Common",1,1,1,,,,"Beast",,
Battlecry,"Classic","Stampeding Kodo","<b>Battlecry:</b> Destroy a random enemy minion with 2 or less Attack.","Minion","NEW1_041",True,,"Daren Bader","Rare",3,5,5,"This Kodo is so big that he can stampede by <i>himself</i>.",,,"Beast",,
,"Classic","Stand Down!","Attack changed to 1.","Enchantment","EX1_382e",,,,,,,,,,"Paladin",,,
,"Classic","Starfall","Deal $2 damage to all enemy minions.","Spell","NEW1_007a",,,,,,,,,,"Druid",,,
,"Classic","Starfall","Deal $5 damage to a minion.","Spell","NEW1_007b",,,,,,,,,,"Druid",,,
,"Classic","Starfall","<b>Choose One -</b> Deal $5 damage to a minion; or $2 damage to all enemy minions.","Spell","NEW1_007",True,,"Richard Wright","Rare",,5,,"Is the sky falling?  Yes.  Yes it is.",,"Druid",,,
,"Classic","Stormforged Axe","<b>Overload:</b> (1)","Weapon","EX1_247",True,"Neutral","Nate Bowden","Common",2,2,,"Yo that's a nice axe.",,"Shaman",,,3
Stealth,"Classic","Stranglethorn Tiger","<b>Stealth</b>","Minion","EX1_028",True,"Alliance","Alex Horley Orlandelli","Common",5,5,5,"The wonderful thing about tigers is tigers are wonderful things!",,,"Beast",,
,"Classic","Strength of the Pack","Dire Wolf Alpha is granting +1 Attack to this minion.","Enchantment","EX1_162o",,,,,,,,,,,,,
,"Classic","Summon a Panther","Summon a 3/2 Panther.","Spell","EX1_160a",,"Neutral",,,,,,,,"Druid",,,
Aura,"Classic","Summoning Portal","Your minions cost (2) less but not less than (1).","Minion","EX1_315",True,"Neutral","Tyler Walpole","Common",0,4,4,"NOT LESS THAN 1!  Don't get any ideas!",,"Warlock",,"Summoning",
Battlecry,"Classic","Sunfury Protector","<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.","Minion","EX1_058",True,"Alliance","James Ryman","Rare",2,2,3,"She carries a shield but only so she can give it to someone she can stand behind.",,,,,
Divine Shield|Taunt,"Classic","Sunwalker","<b>Taunt</b>. <b>Divine Shield</b>","Minion","EX1_032",True,"Alliance","Andrea Uderzo","Rare",4,6,5,"She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!",,,,,
,"Classic","Sword of Justice","Whenever you summon a minion give it +1/+1 and this loses 1 Durability.","Weapon","EX1_366",True,"Neutral","Efrem Palacios","Epic",1,3,,"I dub you Sir Loin of Beef!",,"Paladin",,,5
Deathrattle,"Classic","Sylvanas Windrunner","<b>Deathrattle:</b> Take control of a random enemy minion.","Minion","EX1_016",True,,"Glenn Rane","Legendary",5,6,5,"Sylvanas was turned into the Banshee Queen by Arthas but he probably should have just killed her because it just pissed her off.",True,,,,
Enrage|Taunt,"Classic","Tauren Warrior","<b>Taunt</b>. <b>Enrage:</b> +3 Attack","Minion","EX1_390",True,"Neutral","Paul Warzecha","Common",2,3,3,"Tauren Warrior: Champion of Mulgore Slayer of Quilboar Rider of Thunderbluff Elevators.",,,,,
,"Classic","Teachings of the Kirin Tor","<b>Spell Damage +1</b>.","Enchantment","EX1_584e",,,,,,,,,,,,,
OneTurnEffect,"Classic","Tempered","+2 Attack this turn.","Enchantment","EX1_046e",,,,,,,,,,,,,
Battlecry,"Classic","Temple Enforcer","<b>Battlecry:</b> Give a friendly minion +3 Health.","Minion","EX1_623",True,,"Daren Bader","Common",6,6,6,"He also moonlights Thursday nights as a bouncer at the Pig and Whistle Tavern.",,"Priest",,,
Deathrattle,"Classic","The Beast","<b>Deathrattle:</b> Summon a 3/3 Finkle Einhorn for your opponent.","Minion","EX1_577",True,"Neutral","Glenn Rane","Legendary",9,6,7,"He lives in Blackrock Mountain.  He eats Gnomes.  That's pretty much it.",True,,"Beast",,
Battlecry,"Classic","The Black Knight","<b>Battlecry:</b> Destroy an enemy minion with <b>Taunt</b>.","Minion","EX1_002",True,,"Alex Horley Orlandelli","Legendary",4,6,5,"He was sent by the Lich King to disrupt the Argent Tournament.   We can pretty much mark that a failure.",True,,,,
,"Classic","Thoughtsteal","Copy 2 cards from your opponent's deck and put them into your hand.","Spell","EX1_339",True,"Neutral","Alex Garner","Common",,3,,""What do you get when you cast Thoughtsteal on an Orc?  Nothing!" - Tauren joke",,"Priest",,,
Windfury,"Classic","Thrallmar Farseer","<b>Windfury</b>","Minion","EX1_021",True,"Horde","Efrem Palacios","Common",2,3,3,"He's stationed in the Hellfire Peninsula but he's hoping for a reassignment closer to Orgrimmar or really anywhere the ground is less on fire.",,,,,
Battlecry,"Classic","Tinkmaster Overspark","<b>Battlecry:</b> Transform another random minion into a 5/5 Devilsaur or a 1/1 Squirrel.","Minion","EX1_083",True,"Alliance","Tom Baxa","Legendary",3,3,3,"Tinkmaster Overspark nearly lost his Tinker's license after the Great Ironforge Squirrel Stampede of '09.",True,,,,
Deathrattle|Divine Shield|Taunt,"Classic","Tirion Fordring","<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.","Minion","EX1_383",True,"Neutral","Brom","Legendary",6,8,6,"If you haven't heard the Tirion Fordring theme song it's because it doesn't exist.",True,"Paladin",,,
,"Classic","Trapped","Will be <b>Frozen</b> again at the start of the next turn.","Enchantment","EX1_611e",,,,,,,,,,"Hunter",,,
Charge,"Classic","Treant","<b>Charge</b>.  At the end of the turn destroy this minion.","Minion","EX1_tk9",,"Neutral",,"Common",2,1,2,,,"Druid",,,
Taunt,"Classic","Treant","<b>Taunt</b>","Minion","EX1_573t",,,,,2,1,2,,,"Druid",,,
,"Classic","Treant",,"Minion","EX1_158t",,"Neutral",,,2,1,2,,,"Druid",,,
,"Classic","Treasure Crazed","Increased Attack.","Enchantment","NEW1_018e",,,,,,,,,,,,,
Battlecry,"Classic","Twilight Drake","<b>Battlecry:</b> Gain +1 Health for each card in your hand.","Minion","EX1_043",True,"Neutral","Jaemin Kim","Rare",4,4,1,"Twilight drakes feed on Mystical Energy.  And Tacos.",,,"Dragon",,
,"Classic","Twisting Nether","Destroy all minions.","Spell","EX1_312",True,"Neutral","Dave Allsop","Epic",,8,,"The Twisting Nether is a formless place of magic and illusion and destroyed minions.",,"Warlock",,,
,"Classic","Unbound Elemental","Whenever you play a card with <b>Overload</b> gain +1/+1.","Minion","EX1_258",True,"Neutral","Matt Gaser","Common",2,3,4,"Unlike bound elementals Unbound ones really enjoy a night on the town.",,"Shaman",,,
,"Classic","Unleash the Hounds","For each enemy minion summon a 1/1 Hound with <b>Charge</b>.","Spell","EX1_538",True,,"Linggar Bramanty","Common",,3,,"You must read the name of this card out loud each time you play it.",,"Hunter",,,
,"Classic","Upgrade!","If you have a weapon give it +1/+1. Otherwise equip a 1/3 weapon.","Spell","EX1_409",True,"Neutral","Matt Cavotta","Rare",,1,,"Easily worth 50 DKP.",,"Warrior",,,
,"Classic","Upgraded","Increased Durability.","Enchantment","EX1_536e",,,,,,,,,,"Hunter",,,
,"Classic","Upgraded","+1 Attack and +1 Durability.","Enchantment","EX1_409e",,,,,,,,,,"Warrior",,,
,"Classic","Uproot","+5 Attack.","Spell","EX1_178b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Uprooted","+5 Attack.","Enchantment","EX1_178be",,,,,,,,,,"Druid",,,
,"Classic","VanCleef's Vengeance","This minion has increased Attack and Health.","Enchantment","EX1_613e",,,,,,,,,,"Rogue",,,
Secret,"Classic","Vaporize","<b>Secret:</b> When a minion attacks your hero destroy it.","Spell","EX1_594",True,"Neutral","Raymond Swanland","Rare",,3,,"Rumor has it that Deathwing brought about the Cataclysm after losing a game to this card.  We may never know the truth.",,"Mage",,,
Aura,"Classic","Venture Co. Mercenary","Your minions cost (3) more.","Minion","CS2_227",True,"Horde","John Polidora","Common",7,5,6,"No Job is too big.  No fee is too big.",,,,"Power",
,"Classic","Violet Apprentice",,"Minion","NEW1_026t",,,,,1,0,1,,,,,,
,"Classic","Violet Teacher","Whenever you cast a spell summon a 1/1 Violet Apprentice.","Minion","NEW1_026",True,,"James Ryman","Rare",3,4,5,"If you don't pay attention you may be turned into a pig.  And then you get your name on the board.",,,,,
Battlecry,"Classic","Void Terror","<b>Battlecry:</b> Destroy the minions on either side of this minion and gain their Attack and Health.","Minion","EX1_304",True,,"Alexander Alexandrov","Rare",3,3,3,"If you put this into your deck you WILL lose the trust of your other minions.",,"Warlock","Demon",,
,"Classic","Warded","Increased Attack.","Enchantment","EX1_001e",,,,,,,,,,,,,
,"Classic","Well Fed","Increased Attack and Health.","Enchantment","EX1_531e",,,,,,,,,,"Hunter",,,
,"Classic","Whelp",,"Minion","ds1_whelptoken",,"Neutral",,,1,1,1,,,,"Dragon",,
,"Classic","Whelp",,"Minion","EX1_116t",,,,,1,1,1,,,,"Dragon",,
,"Classic","Whipped Into Shape","+2 Attack.","Enchantment","EX1_603e",,,,,,,,,,"Warrior",,,
,"Classic","Wild Pyromancer","After you cast a spell deal 1 damage to ALL minions.","Minion","NEW1_020",True,,"Alex Horley Orlandelli","Rare",3,2,2,"BOOM BABY BOOM!  BAD IS GOOD!  DOWN WITH GOVERNMENT!",,,,,
Windfury,"Classic","Windfury Harpy","<b>Windfury</b>","Minion","EX1_033",True,"Alliance","Luke Mancini","Common",4,6,5,"Harpies are not pleasant sounding.  That's the nicest I can put it.",,,,,
,"Classic","Wisp",,"Minion","CS2_231",True,"Neutral","Malcolm Davis","Common",1,0,1,"If you hit an Eredar Lord with enough Wisps it will explode.   But why?",,,,,
Stealth,"Classic","Worgen Infiltrator","<b>Stealth</b>","Minion","EX1_010",True,"Alliance","Raymond Swanland","Common",2,1,1,"If you want to stop a worgen from infiltrating just yell "No! Bad boy!"",,,,,
,"Classic","Worthless Imp","<i>You are out of demons! At least there are always imps...</i>","Minion","EX1_317t",,,,"Common",1,1,1,,,"Warlock","Demon",,
,"Classic","Wrath","Deal $1 damage to a minion. Draw a card.","Spell","EX1_154b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Wrath","Deal $3 damage to a minion.","Spell","EX1_154a",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Wrath","<b>Choose One</b> - Deal $3 damage to a minion; or $1 damage and draw a card.","Spell","EX1_154",True,"Neutral","Raymond Swanland","Common",,2,,"The talk around the Ratchet Inn is that this card is too good and should be a Legendary.",,"Druid",,,
,"Classic","Yarrr!","Southsea Captain is granting +1/+1.","Enchantment","NEW1_027e",,,,,,,,,,,,,
Windfury,"Classic","Young Dragonhawk","<b>Windfury</b>","Minion","CS2_169",True,"Horde","Greg Hildebrandt","Common",1,1,1,"They were the inspiration for the championship Taurenball team: The Dragonhawks.",,,"Beast",,
,"Classic","Young Priestess","At the end of your turn give another random friendly minion +1 Health.","Minion","EX1_004",True,,"Vance Kovacs","Rare",2,1,1,"She can't wait to learn Power Word: Fortitude Rank 2.",,,,,
Battlecry,"Classic","Youthful Brewmaster","<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.","Minion","EX1_049",True,"Alliance","Wei Wang","Common",3,2,2,"His youthful enthusiasm doesn’t always equal excellence in his brews.   Don’t drink the Mogu Stout!",,,,,
,"Classic","Ysera","At the end of your turn draw a Dream Card.","Minion","EX1_572",True,"Neutral","Gabor Szikszai","Legendary",4,9,12,"Ysera rules the Emerald Dream.  Which is some kind of green-mirror-version of the real world or something?",True,,"Dragon",,
,"Classic","Ysera Awakens","Deal $5 damage to all characters except Ysera.","Spell","DREAM_02",,,,,,2,,,,"Dream",,,
