TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,DURABILITY,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
The next spell you cast this turn costs (3) less.,Classic,Enchantment,EX1_145o,Preparation,,,,OneTurnEffect,,,,,Rogue,,,,,,,
The next spell you cast this turn costs (3) less.,Classic,Spell,EX1_145,Preparation,Neutral,Epic,0,,,,,,Rogue,True,Clint Langley,"Be Prepared" - Rogue Motto,,,,
<b>Battlecry:</b> Restore 4 Health to your hero.,Classic,Minion,EX1_583,Priestess of Elune,Neutral,Common,6,Battlecry,4,,5,,,True,Dan Scott,If she threatens to "moon" you it's not what you think.,,,,
Double the damage and healing of your spells and Hero Power.,Classic,Minion,EX1_350,Prophet Velen,Neutral,Legendary,7,,7,,7,,Priest,True,Wei Wang,He's been exiled from his home and all his brothers turned evil but otherwise he doesn't have a lot to complain about.,True,,,
Deal $10 damage.,Classic,Spell,EX1_279,Pyroblast,Neutral,Epic,10,,,,,,Mage,True,Luca Zontini,Take the time for an evil laugh after you draw this card.,,,,
Whenever you play a card gain +1/+1.,Classic,Minion,EX1_044,Questing Adventurer,Alliance,Rare,3,,2,Questing,2,,,True,Attila Adorjany,"Does anyone have some extra Boar Pelts?",,,,
<b>Enrage:</b> <b>Windfury</b> and +1 Attack,Classic,Minion,EX1_412,Raging Worgen,Neutral,Common,3,Enrage,3,,3,,,True,Alex Horley Orlandelli,If he's raging now just wait until he gets nerfed.,,,,
Can't Attack. At the end of your turn deal 8 damage to a random enemy.,Classic,Minion,EX1_298,Ragnaros the Firelord,Neutral,Legendary,8,,8,,8,,,True,Greg Staples,Ragnaros was summoned by the Dark Iron dwarves who were eventually enslaved by the Firelord.  Summoning Ragnaros often doesn’t work out the way you want it to.,True,,,
+3/+3.,Classic,Enchantment,CS2_104e,Rampage,,,,,,,,,Warrior,,,,,,,
Give a damaged minion +3/+3.,Classic,Spell,CS2_104,Rampage,Neutral,Common,2,,,,,,Warrior,True,Jonboy Meyers,Minion get ANGRY.   Minion SMASH!,,,,
<b>Stealth</b>,Classic,Minion,CS2_161,Ravenholdt Assassin,Alliance,Rare,7,Stealth,5,,7,,,True,Ralph Horsley,Just mail him a package with a name and 10000 gold.  He'll take care of the rest.,,,,
Increased stats.,Classic,Enchantment,EX1_274e,Raw Power!,,,,,,,,,Mage,,,,,,,
<b>Secret:</b> When one of your minions dies return it to life with 1 Health.,Classic,Spell,EX1_136,Redemption,Neutral,Common,1,Secret,,,,,Paladin,True,Ittoku,I am not sure how you get demptioned the first time.  It’s a mystery!,,,,
<b>Secret:</b> When your opponent plays a minion reduce its Health to 1.,Classic,Spell,EX1_379,Repentance,Neutral,Common,1,Secret,,,,,Paladin,True,Gonzalo Ordonez,Repentance often comes in the moment before obliteration. Curious.,,,,
Health reduced to 1.,Classic,Enchantment,EX1_379e,Repentance,,,,,,,,,Paladin,,,,,,,
+5 Health and <b>Taunt</b>.,Classic,Enchantment,EX1_178ae,Rooted,,,,,,,,,Druid,,,,,,,
+5 Health and <b>Taunt</b>.,Classic,Spell,EX1_178a,Rooted,Neutral,,,,,,,,Druid,,,,,,,
Deal damage equal to your hero's Attack to a minion.,Classic,Spell,EX1_578,Savagery,Neutral,Rare,1,AffectedBySpellPower,,,,,Druid,True,Dave Rapoza,It is true that some druids are savage but others still enjoy a quiet moment and a spot of tea.,,,,
<b>Deathrattle:</b> Summon two 2/2 Hyenas.,Classic,Minion,EX1_534,Savannah Highmane,,Rare,6,Deathrattle,5,Master,6,,Hunter,True,Milivoj Ceran,In the jungle the mighty jungle the lion gets slowly consumed by hyenas.,,Beast,,
<b>Divine Shield</b>,Classic,Minion,EX1_020,Scarlet Crusader,Alliance,Common,3,Divine Shield,1,,3,,,True,Gonzalo Ordonez,Never wash your whites with a Scarlet Crusader.,,,,
Whenever a friendly Beast dies gain +2/+1.,Classic,Minion,EX1_531,Scavenging Hyena,,Common,2,,2,Scavenging,2,,Hunter,True,Jim Nelson,Hyenas prefer the bones of kodos or windserpents but they'll eat pretty much anything.  Even Brussels sprouts.,,Beast,,
Costs (1) less for each other minion on the battlefield.,Classic,Minion,EX1_586,Sea Giant,Neutral,Epic,10,,8,,8,,,True,Svetlin Velinov,See?  Giant.,,,,
Whenever a <b>Secret</b> is played gain +1/+1.,Classic,Minion,EX1_080,Secretkeeper,Alliance,Rare,1,,2,Firey,1,,,True,Gonzalo Ordonez,She promises not to tell anyone about that thing you did last night with that one person.,,,,
Put 2 random Demons from your deck into your hand.,Classic,Spell,EX1_317,Sense Demons,Neutral,Common,3,,,,,,Warlock,True,Raven Mimura,Generally demons are pretty obvious and you don’t need a spell to sense them.,,,,
Gain control of an enemy minion with 3 or less Attack until end of turn.,Classic,Spell,EX1_334,Shadow Madness,Neutral,Rare,4,,,,,,Priest,True,Mark Gibbons,You can rationalize it all you want it's still a mean thing to do.,,,,
Mindgames whiffed! Your opponent had no minions!,Classic,Minion,EX1_345t,Shadow of Nothing,,Epic,0,,1,,0,,Priest,,,,,,,
Destroy a friendly minion and deal its Attack damage to all enemy minions.,Classic,Spell,EX1_303,Shadowflame,Neutral,Rare,4,AffectedBySpellPower,,,,,Warlock,True,Dave Kendall,Start with a powerful minion and stir in Shadowflame and you have a good time!,,,,
Your Hero Power becomes 'Deal 2 damage'. If already in Shadowform: 3 damage.,Classic,Spell,EX1_625,Shadowform,,Epic,3,,,,,,Priest,True,Alex Horley Orlandelli,If a bright light shines on a priest in Shadowform… do they cast a shadow?,,,,
This minion has consumed Divine Shields and has increased Attack and Health.,Classic,Enchantment,EX1_590e,Shadows of M'uru,,Common,,,,,,,,,,,,,,
Return a friendly minion to your hand. It costs (2) less.,Classic,Spell,EX1_144,Shadowstep,Neutral,Common,0,,,,,,Rogue,True,Graven Tung,Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.,,,,
Summon two 2/2 Treants with <b>Taunt</b>.,Classic,Spell,EX1_573b,Shan'do's Lesson,Neutral,,,,,,,,Druid,,,,,,,
+2 Attack from Spiteful Smith.,Classic,Enchantment,CS2_221e,Sharp!,,,,,,,,,,,,,,,,
+1 Durability.,Classic,Enchantment,CS2_146o,Sharpened,,,,,,,,,,,,,,,,
Deal 1 damage to a minion for each Armor you have.,Classic,Spell,EX1_410,Shield Slam,Neutral,Epic,1,AffectedBySpellPower,,,,,Warrior,True,Raymond Swanland,"What is a better weapon? The sharp one your enemies expect or the blunt one they ignore?" - The Art of Warrior Chapter 9,,,,
<b>Taunt</b>,Classic,Minion,EX1_405,Shieldbearer,Neutral,Common,1,Taunt,4,,0,,,True,Carl Critchlow,Have you seen the size of the shields in this game??  This is no easy job.,,,,
<b>Combo:</b> Deal 2 damage.,Classic,Minion,EX1_134,SI:7 Agent,Neutral,Rare,3,Combo,3,,3,,Rogue,True,Chris Moeller,The agents of SI:7 are responsible for Stormwind's covert activities.  Their duties include espionage assassination and throwing surprise birthday parties for the royal family.,,,,
<b>Silence</b> a minion.,Classic,Spell,EX1_332,Silence,Neutral,Common,0,Silence,,,,,Priest,True,Zoltan & Gabor,Reserved for enemy spellcasters evil liches from beyond the grave and karaoke nights at the Grim Guzzler.,,,,
<b>Battlecry:</b> Summon a 2/2 Squire.,Classic,Minion,CS2_151,Silver Hand Knight,Alliance,Common,5,Battlecry,4,,4,,,True,Matt Starbuck,It's good to be a knight.   Less so to be one's squire.,,,,
<b>Divine Shield</b>,Classic,Minion,EX1_023,Silvermoon Guardian,Horde,Common,4,Divine Shield,3,,3,,,True,Phroilan Gardner,The first time they tried to guard Silvermoon against the scourge it didn’t go so well…,,,,
Destroy a minion. Restore #3 Health to your hero.,Classic,Spell,EX1_309,Siphon Soul,Neutral,Rare,6,,,,,,Warlock,True,Tyler Walpole,You probably should avoid siphoning your own soul.  You might create some kind of weird infinite loop.,,,,
Deal $2 damage to a minion. If it survives draw a card.,Classic,Spell,EX1_391,Slam,Neutral,Common,2,,,,,,Warrior,True,E.M. Gist,"Dun da dun dun da dun": if you've heard an ogre sing this it's too late.,,,,
,Classic,Minion,EX1_554t,Snake,Neutral,Common,0,,1,,1,,Hunter,,,,,Beast,,
<b>Secret:</b> When one of your minions is attacked summon three 1/1 Snakes.,Classic,Spell,EX1_554,Snake Trap,Neutral,Epic,2,Secret,,,,,Hunter,True,Bernie Kang,Why did it have to be snakes?,,,,
<b>Secret:</b> When your opponent plays a minion deal $4 damage to it.,Classic,Spell,EX1_609,Snipe,Neutral,Common,2,Secret,,,,,Hunter,True,Lorenzo Minaca,A great sniper hits the spot.  Just like a delicious flank of boar. Mmmmm.,,,,
Your spells cost (1) less.,Classic,Minion,EX1_608,Sorcerer's Apprentice,Neutral,Common,2,Aura,2,,3,,Mage,True,Alex Horley Orlandelli,Apprentices are great for bossing around.  "Conjure me some mana buns! And a coffee!  Make that a mana coffee!",,,,
Deathrattle: Summon a 2/2 Treant.,Classic,Enchantment,EX1_158e,Soul of the Forest,,,,,,,,,Druid,,,,,,,
Give your minions "<b>Deathrattle:</b> Summon a 2/2 Treant.",Classic,Spell,EX1_158,Soul of the Forest,Neutral,Common,4,,,,,,Druid,True,Markus Erdt,"Reforestation" is suddenly a terrifying word.,,,,
Your other Pirates have +1/+1.,Classic,Minion,NEW1_027,Southsea Captain,,Epic,3,Aura,3,,3,,,True,Ken Steacy,When he saves enough plunder he's going to commission an enormous captain's hat.  He has hat envy.,,Pirate,,
Has <b>Charge</b> while you have a weapon equipped.,Classic,Minion,CS2_146,Southsea Deckhand,Alliance,Common,1,,1,,2,,,True,Dan Brereton,Pirates are into this new fad called "Planking".,,Pirate,,
,Classic,Minion,tt_010a,Spellbender,,Epic,0,,3,,1,,Mage,,,,,,,
<b>Secret:</b> When an enemy casts a spell on a minion summon a 1/3 as the new target.,Classic,Spell,tt_010,Spellbender,Neutral,Epic,3,Secret,,,,,Mage,True,Gonzalo Ordonez,While it's fun to intercept enemy lightning bolts a spellbender much prefers to intercept opposing Marks of the Wild.  It just feels meaner.  And blood elves... well they're a little mean.,,,,
<b>Battlecry:</b> <b>Silence</b> a minion.,Classic,Minion,EX1_048,Spellbreaker,Horde,Common,4,Battlecry,3,,4,,,True,Matt Cavotta,Spellbreakers can rip enchantments from magic-wielders.  The process is painless and can be performed on an outpatient basis.,,,,
<b>Taunt</b>,Classic,Minion,EX1_tk11,Spirit Wolf,Neutral,Rare,2,Taunt,3,,2,,Shaman,,,,,,,
<b>Enrage:</b> Your weapon has +2 Attack.,Classic,Minion,CS2_221,Spiteful Smith,Horde,Common,5,Enrage,6,Summoning,4,,,True,Justin Sweet,She'll craft you a sword but you'll need to bring her 5 Steel Ingots 3 Motes of Earth and the scalp of her last customer.,,,,
,Classic,Minion,CS2_152,Squire,Alliance,Common,1,,2,,2,,,,,,,,,
,Classic,Minion,EX1_tk28,Squirrel,Neutral,Common,1,,1,,1,,,,,,,Beast,,
<b>Battlecry:</b> Destroy a random enemy minion with 2 or less Attack.,Classic,Minion,NEW1_041,Stampeding Kodo,,Rare,5,Battlecry,5,,3,,,True,Daren Bader,This Kodo is so big that he can stampede by <i>himself</i>.,,Beast,,
Attack changed to 1.,Classic,Enchantment,EX1_382e,Stand Down!,,,,,,,,,Paladin,,,,,,,
Deal $2 damage to all enemy minions.,Classic,Spell,NEW1_007a,Starfall,,,,,,,,,Druid,,,,,,,
Deal $5 damage to a minion.,Classic,Spell,NEW1_007b,Starfall,,,,,,,,,Druid,,,,,,,
<b>Choose One -</b> Deal $5 damage to a minion; or $2 damage to all enemy minions.,Classic,Spell,NEW1_007,Starfall,,Rare,5,,,,,,Druid,True,Richard Wright,Is the sky falling?  Yes.  Yes it is.,,,,
<b>Overload:</b> (1),Classic,Weapon,EX1_247,Stormforged Axe,Neutral,Common,2,,,,2,3,Shaman,True,Nate Bowden,Yo that's a nice axe.,,,,
<b>Stealth</b>,Classic,Minion,EX1_028,Stranglethorn Tiger,Alliance,Common,5,Stealth,5,,5,,,True,Alex Horley Orlandelli,The wonderful thing about tigers is tigers are wonderful things!,,Beast,,
Dire Wolf Alpha is granting +1 Attack to this minion.,Classic,Enchantment,EX1_162o,Strength of the Pack,,,,,,,,,,,,,,,,
Summon a 3/2 Panther.,Classic,Spell,EX1_160a,Summon a Panther,Neutral,,,,,,,,Druid,,,,,,,
Your minions cost (2) less but not less than (1).,Classic,Minion,EX1_315,Summoning Portal,Neutral,Common,4,Aura,4,Summoning,0,,Warlock,True,Tyler Walpole,NOT LESS THAN 1!  Don't get any ideas!,,,,
<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.,Classic,Minion,EX1_058,Sunfury Protector,Alliance,Rare,2,Battlecry,3,,2,,,True,James Ryman,She carries a shield but only so she can give it to someone she can stand behind.,,,,
<b>Taunt</b>. <b>Divine Shield</b>,Classic,Minion,EX1_032,Sunwalker,Alliance,Rare,6,Divine Shield|Taunt,5,,4,,,True,Andrea Uderzo,She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!,,,,
Whenever you summon a minion give it +1/+1 and this loses 1 Durability.,Classic,Weapon,EX1_366,Sword of Justice,Neutral,Epic,3,,,,1,5,Paladin,True,Efrem Palacios,I dub you Sir Loin of Beef!,,,,
<b>Deathrattle:</b> Take control of a random enemy minion.,Classic,Minion,EX1_016,Sylvanas Windrunner,,Legendary,6,Deathrattle,5,,5,,,True,Glenn Rane,Sylvanas was turned into the Banshee Queen by Arthas but he probably should have just killed her because it just pissed her off.,True,,,
<b>Taunt</b>. <b>Enrage:</b> +3 Attack,Classic,Minion,EX1_390,Tauren Warrior,Neutral,Common,3,Enrage|Taunt,3,,2,,,True,Paul Warzecha,Tauren Warrior: Champion of Mulgore Slayer of Quilboar Rider of Thunderbluff Elevators.,,,,
<b>Spell Damage +1</b>.,Classic,Enchantment,EX1_584e,Teachings of the Kirin Tor,,,,,,,,,,,,,,,,
+2 Attack this turn.,Classic,Enchantment,EX1_046e,Tempered,,,,OneTurnEffect,,,,,,,,,,,,
<b>Battlecry:</b> Give a friendly minion +3 Health.,Classic,Minion,EX1_623,Temple Enforcer,,Common,6,Battlecry,6,,6,,Priest,True,Daren Bader,He also moonlights Thursday nights as a bouncer at the Pig and Whistle Tavern.,,,,
<b>Deathrattle:</b> Summon a 3/3 Finkle Einhorn for your opponent.,Classic,Minion,EX1_577,The Beast,Neutral,Legendary,6,Deathrattle,7,,9,,,True,Glenn Rane,He lives in Blackrock Mountain.  He eats Gnomes.  That's pretty much it.,True,Beast,,
<b>Battlecry:</b> Destroy an enemy minion with <b>Taunt</b>.,Classic,Minion,EX1_002,The Black Knight,,Legendary,6,Battlecry,5,,4,,,True,Alex Horley Orlandelli,He was sent by the Lich King to disrupt the Argent Tournament.   We can pretty much mark that a failure.,True,,,
Copy 2 cards from your opponent's deck and put them into your hand.,Classic,Spell,EX1_339,Thoughtsteal,Neutral,Common,3,,,,,,Priest,True,Alex Garner,"What do you get when you cast Thoughtsteal on an Orc?  Nothing!" - Tauren joke,,,,
<b>Windfury</b>,Classic,Minion,EX1_021,Thrallmar Farseer,Horde,Common,3,Windfury,3,,2,,,True,Efrem Palacios,He's stationed in the Hellfire Peninsula but he's hoping for a reassignment closer to Orgrimmar or really anywhere the ground is less on fire.,,,,
<b>Battlecry:</b> Transform another random minion into a 5/5 Devilsaur or a 1/1 Squirrel.,Classic,Minion,EX1_083,Tinkmaster Overspark,Alliance,Legendary,3,Battlecry,3,,3,,,True,Tom Baxa,Tinkmaster Overspark nearly lost his Tinker's license after the Great Ironforge Squirrel Stampede of '09.,True,,,
<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,Classic,Minion,EX1_383,Tirion Fordring,Neutral,Legendary,8,Deathrattle|Divine Shield|Taunt,6,,6,,Paladin,True,Brom,If you haven't heard the Tirion Fordring theme song it's because it doesn't exist.,True,,,
Will be <b>Frozen</b> again at the start of the next turn.,Classic,Enchantment,EX1_611e,Trapped,,,,,,,,,Hunter,,,,,,,
<b>Charge</b>.  At the end of the turn destroy this minion.,Classic,Minion,EX1_tk9,Treant,Neutral,Common,1,Charge,2,,2,,Druid,,,,,,,
<b>Taunt</b>,Classic,Minion,EX1_573t,Treant,,,1,Taunt,2,,2,,Druid,,,,,,,
,Classic,Minion,EX1_158t,Treant,Neutral,,1,,2,,2,,Druid,,,,,,,
Increased Attack.,Classic,Enchantment,NEW1_018e,Treasure Crazed,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Gain +1 Health for each card in your hand.,Classic,Minion,EX1_043,Twilight Drake,Neutral,Rare,4,Battlecry,1,,4,,,True,Jaemin Kim,Twilight drakes feed on Mystical Energy.  And Tacos.,,Dragon,,
Destroy all minions.,Classic,Spell,EX1_312,Twisting Nether,Neutral,Epic,8,,,,,,Warlock,True,Dave Allsop,The Twisting Nether is a formless place of magic and illusion and destroyed minions.,,,,
Whenever you play a card with <b>Overload</b> gain +1/+1.,Classic,Minion,EX1_258,Unbound Elemental,Neutral,Common,3,,4,,2,,Shaman,True,Matt Gaser,Unlike bound elementals Unbound ones really enjoy a night on the town.,,,,
For each enemy minion summon a 1/1 Hound with <b>Charge</b>.,Classic,Spell,EX1_538,Unleash the Hounds,,Common,3,,,,,,Hunter,True,Linggar Bramanty,You must read the name of this card out loud each time you play it.,,,,
If you have a weapon give it +1/+1. Otherwise equip a 1/3 weapon.,Classic,Spell,EX1_409,Upgrade!,Neutral,Rare,1,,,,,,Warrior,True,Matt Cavotta,Easily worth 50 DKP.,,,,
Increased Durability.,Classic,Enchantment,EX1_536e,Upgraded,,,,,,,,,Hunter,,,,,,,
+1 Attack and +1 Durability.,Classic,Enchantment,EX1_409e,Upgraded,,,,,,,,,Warrior,,,,,,,
+5 Attack.,Classic,Spell,EX1_178b,Uproot,Neutral,,,,,,,,Druid,,,,,,,
+5 Attack.,Classic,Enchantment,EX1_178be,Uprooted,,,,,,,,,Druid,,,,,,,
This minion has increased Attack and Health.,Classic,Enchantment,EX1_613e,VanCleef's Vengeance,,,,,,,,,Rogue,,,,,,,
<b>Secret:</b> When a minion attacks your hero destroy it.,Classic,Spell,EX1_594,Vaporize,Neutral,Rare,3,Secret,,,,,Mage,True,Raymond Swanland,Rumor has it that Deathwing brought about the Cataclysm after losing a game to this card.  We may never know the truth.,,,,
Your minions cost (3) more.,Classic,Minion,CS2_227,Venture Co. Mercenary,Horde,Common,5,Aura,6,Power,7,,,True,John Polidora,No Job is too big.  No fee is too big.,,,,
,Classic,Minion,NEW1_026t,Violet Apprentice,,,0,,1,,1,,,,,,,,,
Whenever you cast a spell summon a 1/1 Violet Apprentice.,Classic,Minion,NEW1_026,Violet Teacher,,Rare,4,,5,,3,,,True,James Ryman,If you don't pay attention you may be turned into a pig.  And then you get your name on the board.,,,,
<b>Battlecry:</b> Destroy the minions on either side of this minion and gain their Attack and Health.,Classic,Minion,EX1_304,Void Terror,,Rare,3,Battlecry,3,,3,,Warlock,True,Alexander Alexandrov,If you put this into your deck you WILL lose the trust of your other minions.,,Demon,,
Increased Attack.,Classic,Enchantment,EX1_001e,Warded,,,,,,,,,,,,,,,,
Increased Attack and Health.,Classic,Enchantment,EX1_531e,Well Fed,,,,,,,,,Hunter,,,,,,,
,Classic,Minion,ds1_whelptoken,Whelp,Neutral,,1,,1,,1,,,,,,,Dragon,,
,Classic,Minion,EX1_116t,Whelp,,,1,,1,,1,,,,,,,Dragon,,
+2 Attack.,Classic,Enchantment,EX1_603e,Whipped Into Shape,,,,,,,,,Warrior,,,,,,,
After you cast a spell deal 1 damage to ALL minions.,Classic,Minion,NEW1_020,Wild Pyromancer,,Rare,2,,2,,3,,,True,Alex Horley Orlandelli,BOOM BABY BOOM!  BAD IS GOOD!  DOWN WITH GOVERNMENT!,,,,
<b>Windfury</b>,Classic,Minion,EX1_033,Windfury Harpy,Alliance,Common,6,Windfury,5,,4,,,True,Luke Mancini,Harpies are not pleasant sounding.  That's the nicest I can put it.,,,,
,Classic,Minion,CS2_231,Wisp,Neutral,Common,0,,1,,1,,,True,Malcolm Davis,If you hit an Eredar Lord with enough Wisps it will explode.   But why?,,,,
<b>Stealth</b>,Classic,Minion,EX1_010,Worgen Infiltrator,Alliance,Common,1,Stealth,1,,2,,,True,Raymond Swanland,If you want to stop a worgen from infiltrating just yell "No! Bad boy!",,,,
<i>You are out of demons! At least there are always imps...</i>,Classic,Minion,EX1_317t,Worthless Imp,,Common,1,,1,,1,,Warlock,,,,,Demon,,
Deal $1 damage to a minion. Draw a card.,Classic,Spell,EX1_154b,Wrath,Neutral,,,,,,,,Druid,,,,,,,
Deal $3 damage to a minion.,Classic,Spell,EX1_154a,Wrath,Neutral,,,,,,,,Druid,,,,,,,
<b>Choose One</b> - Deal $3 damage to a minion; or $1 damage and draw a card.,Classic,Spell,EX1_154,Wrath,Neutral,Common,2,,,,,,Druid,True,Raymond Swanland,The talk around the Ratchet Inn is that this card is too good and should be a Legendary.,,,,
Southsea Captain is granting +1/+1.,Classic,Enchantment,NEW1_027e,Yarrr!,,,,,,,,,,,,,,,,
<b>Windfury</b>,Classic,Minion,CS2_169,Young Dragonhawk,Horde,Common,1,Windfury,1,,1,,,True,Greg Hildebrandt,They were the inspiration for the championship Taurenball team: The Dragonhawks.,,Beast,,
At the end of your turn give another random friendly minion +1 Health.,Classic,Minion,EX1_004,Young Priestess,,Rare,1,,1,,2,,,True,Vance Kovacs,She can't wait to learn Power Word: Fortitude Rank 2.,,,,
<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,Classic,Minion,EX1_049,Youthful Brewmaster,Alliance,Common,2,Battlecry,2,,3,,,True,Wei Wang,His youthful enthusiasm doesn’t always equal excellence in his brews.   Don’t drink the Mogu Stout!,,,,
At the end of your turn draw a Dream Card.,Classic,Minion,EX1_572,Ysera,Neutral,Legendary,9,,12,,4,,,True,Gabor Szikszai,Ysera rules the Emerald Dream.  Which is some kind of green-mirror-version of the real world or something?,True,Dragon,,
Deal $5 damage to all characters except Ysera.,Classic,Spell,DREAM_02,Ysera Awakens,,,2,,,,,,Dream,,,,,,,
<b>Deathrattle:</b> Return a random friendly minion to your hand.,Curse of Naxxramas,Minion,FP1_026,Anub'ar Ambusher,,Common,4,Deathrattle,5,,5,,Rogue,True,Nate Bowden,Originally he was called "Anub'ar Guy who bounces a guy back to your hand" but it lacked a certain zing.,,,Unlocked by completing the Rogue Class Challenge in Naxxramas.,Can be crafted after completing the Rogue Class Challenge in Naxxramas.
,Curse of Naxxramas,Hero,NAX1h_01,Anub'Rekhan,,,,,45,,,,,,,,,,,
,Curse of Naxxramas,Hero,NAX1_01,Anub'Rekhan,,,,,30,,,,,,,,,,,
<b>Secret:</b> When one of your minions dies give a random friendly minion +3/+2.,Curse of Naxxramas,Spell,FP1_020,Avenge,,Common,1,Secret,,,,,Paladin,True,Zoltan & Gabor,Several paladins have joined together to deliver justice under the name "Justice Force."  Their lawyer talked them out of calling themselves the Justice League.,,,Unlocked by completing the Paladin Class Challenge in Naxxramas.,Can be crafted after completing the Paladin Class Challenge in Naxxramas.
,Curse of Naxxramas,Hero,NAX9_01,Baron Rivendare,,,,,7,,,,,,,,,,,
,Curse of Naxxramas,Hero,NAX9_01H,Baron Rivendare,,,,,14,,,,,,,,,,,
Your minions trigger their <b>Deathrattles</b> twice.,Curse of Naxxramas,Minion,FP1_031,Baron Rivendare,,Legendary,4,Aura,7,,1,,,True,Ralph Horsley,There used to be five Horsemen but one of them left because a job opened up in the deadmines and the benefits were better.,True,,Unlocked by completing the Military Quarter.,Can be crafted after completing the Military Quarter.
<b>Hero Power</b>
Take control of a random enemy minion.,Curse of Naxxramas,Hero Power,NAX15_04H,Chains,,,8,,,,,,,,,,,,,
<b>Hero Power</b>
Take control of a random enemy minion until end of turn.,Curse of Naxxramas,Hero Power,NAX15_04,Chains,,,8,,,,,,,,,,,,,
Increased stats.,Curse of Naxxramas,Enchantment,FP1_005e,Consume,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Your opponent draws a card.,Curse of Naxxramas,Minion,FP1_029,Dancing Swords,,Common,3,Deathrattle,4,,4,,,True,Jon McConnell,They like to dance to reggae.,,,Unlocked by defeating Instructor Razuvious in the Military Quarter.,Can be crafted after defeating Instructor Razuvious in the Military Quarter.
<b>Deathrattle:</b> Give a random friendly minion +3 Health.,Curse of Naxxramas,Minion,FP1_023,Dark Cultist,,Common,3,Deathrattle,4,,3,,Priest,True,Phroilan Gardner,The Cult of the Damned has found it's best not to mention their name when recruiting new cultists.,,,Unlocked by completing the Priest Class Challenge in Naxxramas.,Can be crafted after completing the Priest Class Challenge in Naxxramas.
Increased stats.,Curse of Naxxramas,Enchantment,FP1_028e,Darkness Calls,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Deal 1 damage to all minions.,Curse of Naxxramas,Weapon,FP1_021,Death's Bite,,Common,4,Deathrattle,,,4,2,Warrior,True,Jim Nelson,"Take a bite outta Death." - McScruff the Deathlord,,,Unlocked by completing the Warrior Class Challenge in Naxxramas.,Can be crafted after completing the Warrior Class Challenge in Naxxramas.
Deal $5 damage to a minion. Summon a Spore.,Curse of Naxxramas,Spell,NAX6_03,Deathbloom,,,4,,,,,,,,,,,,,
<b>Charge. Deathrattle:</b> Deal 3 damage to your hero.,Curse of Naxxramas,Minion,FP1_006,Deathcharger,,,1,Charge|Deathrattle,3,,2,,,,,,,,,
<b>Taunt. Deathrattle:</b> Your opponent puts a minion from their deck into the battlefield.,Curse of Naxxramas,Minion,FP1_009,Deathlord,,Rare,3,Deathrattle|Taunt,8,,2,,,True,Ben Olson,"Rise from your grave!" - Kel'Thuzad,,,Unlocked by defeating The Four Horsemen in the Military Quarter.,Can be crafted after defeating The Four Horsemen in the Military Quarter.
Health changed to 1.,Curse of Naxxramas,Enchantment,NAX12_02e,Decimate,,,,,,,,,,,,,,,,
<b>Hero Power</b>
Change the Health of all minions to 1.,Curse of Naxxramas,Hero Power,NAX12_02,Decimate,,,2,,,,,,,,,,,,,
<b>Hero Power</b>
Change the Health of enemy minions to 1.,Curse of Naxxramas,Hero Power,NAX12_02H,Decimate,,,0,,,,,,,,,,,,,
<b>Secret:</b> When a friendly minion dies put 2 copies of it into your hand.,Curse of Naxxramas,Spell,FP1_018,Duplicate,,Common,3,Secret,,,,,Mage,True,Alex Garner,The one time when duping cards won't get your account banned!,,,Unlocked by completing the Mage Class Challenge in Naxxramas.,Can be crafted after completing the Mage Class Challenge in Naxxramas.
<b>Battlecry:</b> Summon an exact copy of this minion at the end of the turn.,Curse of Naxxramas,Minion,FP1_003,Echoing Ooze,,Epic,2,Battlecry,2,,1,,,True,Eric Browning,OOZE... Ooze... Ooze... (ooze...),,,Unlocked by defeating Sapphiron in the Frostwyrm Lair.,Can be crafted after defeating Sapphiron in the Frostwyrm Lair.
+6 Attack this turn.,Curse of Naxxramas,Enchantment,NAX12_04e,Enrage,,,,OneTurnEffect,,,,,,,,,,,,
Give your hero +6 Attack this turn.,Curse of Naxxramas,Spell,NAX12_04,Enrage,,,3,,,,,,,,,,,,,
<b>Hero Power</b>
Deal 3 damage to the left-most enemy minion.,Curse of Naxxramas,Hero Power,NAX5_02H,Eruption,,,0,,,,,,,,,,,,,
<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.,Curse of Naxxramas,Hero Power,NAX5_02,Eruption,,,1,,,,,,,,,,,,,
Increased Attack.,Curse of Naxxramas,Enchantment,NAX12_03e,Extra Teeth,,,,,,,,,,,,,,,,
,Curse of Naxxramas,Minion,NAX11_03,Fallout Slime,,,1,,2,,2,,,,,,,,,
